diseaseName	Number of genes	geneSymbol	score	score_hpo	score_conf	score_total	parse	category
enlarged vestibular aqueduct	8	SLC26A4	0.737342809734312	1.0	3.8	0.7848742477874495	enlarged vestibular	Ear, nose, and throat
aspartylglucosaminuria	8	AGA	0.7304896690934659	1.0	4.0	0.7843917352747727	aspartylglucosaminuria	Brain and nervous system
mucopolysaccharidosis vi	6	ARSB	0.8372358506434859	0.0	4.0	0.7697886805147888	mucopolysaccharidosis vi	Bones, muscles, and connective tissues
canavan disease	4	ASPA	0.8395529181628341	0.0	3.7	0.7641423345302674	canavan disease	Brain and nervous system
cleidocranial dysplasia	3	RUNX2	0.763477022224114	0.0	3.8	0.7057816177792912	cleidocranial dysplasia	Bones, muscles, and connective tissues
craniofacial dysostosis	9	FGFR2	0.7338627598684759	1.0	0.0	0.6870902078947807	craniofacial dysostosis	Bones, muscles, and connective tissues
alkaptonuria	1	HGD	0.7338337958023621	0.0	4.0	0.6870670366418896	alkaptonuria	Bones, muscles, and connective tissues
focal dermal hypoplasia	2	PORCN	0.732670813455874	0.0	4.0	0.6861366507646992	focal dermal	Bones, muscles, and connective tissues
pleuropulmonary blastoma	5	DICER1	0.6245360731214991	1.0	3.4	0.6846288584971992	pleuropulmonary blastoma	Cancers
birt-hogg-dube syndrome	5	FLCN	0.72850513710281	0.0	4.0	0.6828041096822479	birt hogg	Cancers
allan-herndon-dudley syndrome	2	SLC16A2	0.724819577691592	0.0	4.0	0.6798556621532736	allan herndon	Brain and nervous system
ellis-van creveld syndrome	5	EVC	0.7239400999151979	0.0	4.0	0.6791520799321583	ellis van	Bones, muscles, and connective tissues
alpha-mannosidosis	1	MAN2B1	0.723685559411218	0.0	4.0	0.6789484475289744	alpha mannosidosis	Food, nutrition, and metabolism
hyperprolinemia	4	PRODH	0.7231185502710301	1.0	0.0	0.6784948402168239	hyperprolinemia	Food, nutrition, and metabolism
succinic semialdehyde dehydrogenase deficiency	3	ALDH5A1	0.7219845319906558	0.0	4.0	0.6775876255925246	succinic semialdehyde	Brain and nervous system
biotinidase deficiency	4	BTD	0.733853862694847	0.0	3.6	0.6770830901558775	biotinidase deficiency	Brain and nervous system
acrodermatitis enteropathica	8	SLC39A4	0.7242525685514051	0.0	3.9	0.6769020548411241	acrodermatitis enteropathica	Skin, hair, and nails
